merchant_id,category,state,total_txn_count,total_volume,fraud_rate,risk_score,risk_label
MRC00813,Online_Ecommerce,Lagos,211,7944429.87,0.0947867298578199,0.9999974,Very High
MRC01413,Transfer_P2P,Ogun,152,3231287.51,0.0921052631578947,0.9999974,Very High
MRC01076,POS_Retail,Oyo,54,577454.19,0.1851851851851851,0.9999974,Very High
MRC00115,Online_Ecommerce,Kwara,49,2180489.45,0.0816326530612244,0.9999974,Very High
MRC00248,POS_Grocery,Abuja,220,1748447.15,0.1,0.99999726,Very High
MRC03960,Transfer_P2P,Lagos,135,2597053.76,0.1037037037037037,0.99999726,Very High
MRC03551,POS_Restaurant,Rivers,49,230110.57,0.0816326530612244,0.99999726,Very High
MRC00972,POS_Retail,Plateau,52,491653.19,0.0961538461538461,0.99999714,Very High
MRC00757,Transfer_P2P,Abuja,58,1343241.05,0.1206896551724138,0.99999714,Very High
MRC02299,Online_Gaming,Enugu,45,123786.22,0.1555555555555555,0.99999714,Very High
MRC00581,Transfer_Payroll,Kaduna,71,13173802.43,0.0985915492957746,0.999997,Very High
MRC02007,POS_Fashion,Kano,70,1698444.96,0.1142857142857142,0.999997,Very High
MRC04807,POS_Restaurant,Kaduna,81,438651.19,0.0987654320987654,0.9999969,Very High
MRC02391,POS_Restaurant,Kano,111,505055.52,0.1351351351351351,0.9999969,Very High
MRC03293,Online_Ecommerce,Lagos,58,1859787.09,0.1551724137931034,0.9999969,Very High
MRC04721,Online_Bills,Rivers,61,688555.78,0.1147540983606557,0.9999968,Very High
MRC03807,POS_Electronics,Cross River,54,4663020.5,0.0925925925925925,0.9999968,Very High
MRC03533,POS_Grocery,Abuja,55,431040.16,0.1636363636363636,0.9999968,Very High
MRC01769,POS_Retail,Anambra,399,4173427.46,0.1077694235588972,0.99999666,Very High
MRC01470,POS_Restaurant,Lagos,43,242598.08,0.0930232558139534,0.99999666,Very High
MRC04025,POS_Fuel,Rivers,127,1900556.01,0.1023622047244094,0.99999666,Very High
MRC03457,POS_Retail,Rivers,128,1324794.98,0.109375,0.99999666,Very High
MRC03539,POS_Grocery,Imo,62,488597.45,0.0967741935483871,0.9999964,Very High
MRC04232,Online_Bills,Abuja,81,980276.42,0.0864197530864197,0.9999964,Very High
MRC02787,Online_Ecommerce,Lagos,50,1894572.47,0.08,0.9999964,Very High
MRC03894,Online_Bills,Bayelsa,192,2318996.41,0.0833333333333333,0.9999963,Very High
MRC01626,Online_Ecommerce,Enugu,50,1903777.51,0.1,0.9999963,Very High
MRC01760,Online_Ecommerce,Lagos,941,33155832.91,0.0956429330499468,0.9999963,Very High
MRC04466,Online_Ecommerce,Abuja,44,1765458.32,0.1363636363636363,0.9999962,Very High
MRC01324,POS_Retail,Abuja,45,464223.99,0.1111111111111111,0.9999962,Very High
MRC03579,POS_Retail,Lagos,67,657869.29,0.1044776119402985,0.9999962,Very High
MRC00241,POS_Grocery,Kano,58,474045.92,0.1896551724137931,0.9999962,Very High
MRC03609,Online_Travel,Lagos,124,19214065.16,0.0806451612903225,0.9999962,Very High
MRC01679,Transfer_P2P,Benue,100,1859009.69,0.13,0.99999607,Very High
MRC01925,POS_Restaurant,Abia,92,386146.47,0.1195652173913043,0.99999607,Very High
MRC03379,Online_Travel,Abuja,47,7310440.99,0.1276595744680851,0.99999595,Very High
MRC00885,POS_Retail,Delta,59,653053.66,0.1694915254237288,0.9999958,Very High
MRC00068,Online_Ecommerce,Bayelsa,67,2120423.73,0.1044776119402985,0.9999957,Very High
MRC03703,POS_Restaurant,Abuja,122,591792.6,0.0901639344262295,0.9999957,Very High
MRC01847,Transfer_Payroll,Abuja,51,9343631.21,0.196078431372549,0.9999957,Very High
MRC02953,POS_Restaurant,Bayelsa,134,689301.87,0.0820895522388059,0.99999547,Very High
MRC03462,Online_Bills,Lagos,41,577161.07,0.0975609756097561,0.99999547,Very High
MRC02569,POS_Retail,Abuja,1087,11576025.57,0.0846366145354185,0.99999535,Very High
MRC04840,POS_Electronics,Enugu,440,38063173.36,0.0795454545454545,0.99999535,Very High
MRC01844,Transfer_P2P,Ogun,90,1872303.5,0.0888888888888888,0.9999951,Very High
MRC00010,Online_Travel,Enugu,65,9271114.43,0.1076923076923077,0.9999951,Very High
MRC00629,POS_Retail,Oyo,340,3638826.57,0.1088235294117647,0.9999951,Very High
MRC03312,POS_Restaurant,Lagos,45,228837.27,0.0888888888888888,0.999995,Very High
MRC03687,POS_Fashion,Cross River,168,4226527.3,0.0892857142857142,0.9999949,Very High
MRC00543,Online_Bills,Lagos,105,1207301.34,0.1047619047619047,0.9999949,Very High
MRC00522,Online_Bills,Enugu,67,860568.75,0.0746268656716417,0.9999949,Very High
MRC02813,Online_Ecommerce,Oyo,55,1892553.74,0.1636363636363636,0.9999949,Very High
MRC02198,Transfer_P2P,Anambra,235,5208345.11,0.0978723404255319,0.9999949,Very High
MRC01614,POS_Retail,Rivers,103,994985.17,0.116504854368932,0.9999949,Very High
MRC01241,Transfer_P2P,Lagos,46,833766.4,0.0869565217391304,0.99999475,Very High
MRC00902,POS_Restaurant,Rivers,45,214636.61,0.1111111111111111,0.99999464,Very High
MRC04176,POS_Electronics,Lagos,52,4332007.92,0.0769230769230769,0.9999945,Very High
MRC03758,POS_Restaurant,Abuja,46,228870.56,0.0869565217391304,0.9999944,Very High
MRC00038,Online_Ecommerce,Osun,107,3899539.6,0.0841121495327102,0.9999943,Very High
MRC04736,Transfer_P2P,Abia,49,1035197.85,0.0816326530612244,0.99999416,Very High
MRC03872,Transfer_Payroll,Oyo,73,13297445.64,0.1232876712328767,0.99999416,Very High
MRC01961,POS_Electronics,Lagos,77,6892438.16,0.1298701298701298,0.99999404,Very High
MRC03744,POS_Fuel,Lagos,50,840422.33,0.1,0.99999404,Very High
MRC00452,Online_Ecommerce,Lagos,51,1750438.12,0.0980392156862745,0.9999938,Very High
MRC03254,POS_Pharmacy,Oyo,522,3217832.37,0.0727969348659003,0.9999938,Very High
MRC02727,POS_Fuel,Rivers,46,691354.84,0.108695652173913,0.9999938,Very High
MRC00276,Transfer_P2P,Oyo,54,1214683.25,0.1296296296296296,0.9999937,Very High
MRC04010,Online_Gaming,Ogun,104,323726.64,0.0865384615384615,0.99999356,Very High
MRC01178,POS_Retail,Kwara,44,466322.2,0.0909090909090909,0.99999356,Very High
MRC03073,POS_Fashion,Bayelsa,43,917021.03,0.0930232558139534,0.99999344,Very High
MRC02025,POS_Fuel,Rivers,45,606351.83,0.0888888888888888,0.9999932,Very High
MRC00461,POS_Supermarket,Lagos,47,407576.42,0.1063829787234042,0.9999932,Very High
MRC00878,Online_Ecommerce,Delta,79,2886769.34,0.0886075949367088,0.9999931,Very High
MRC04755,Transfer_Business,Lagos,313,78168839.87,0.108626198083067,0.9999931,Very High
MRC04883,POS_Retail,Kaduna,66,644714.81,0.0757575757575757,0.99999297,Very High
MRC03365,Online_Bills,Lagos,44,558734.69,0.1136363636363636,0.9999927,Very High
MRC02063,Online_Travel,Abuja,128,19022939.66,0.078125,0.9999925,Very High
MRC03168,POS_Restaurant,Delta,46,225159.07,0.0869565217391304,0.99999225,Very High
MRC01681,Online_Bills,Lagos,89,1144318.05,0.0898876404494382,0.99999225,Very High
MRC04598,POS_Grocery,Lagos,130,1014200.1,0.1692307692307692,0.99999225,Very High
MRC04686,POS_Grocery,Delta,136,1061332.77,0.1102941176470588,0.99999225,Very High
MRC00946,POS_Retail,Rivers,83,861032.62,0.144578313253012,0.99999213,Very High
MRC03304,POS_Pharmacy,Lagos,85,491911.28,0.1058823529411764,0.99999213,Very High
MRC00114,POS_Grocery,Abuja,67,569078.97,0.0895522388059701,0.99999213,Very High
MRC03433,POS_Retail,Benue,46,399868.29,0.1304347826086956,0.9999919,Very High
MRC02755,POS_Retail,Lagos,52,516234.62,0.0961538461538461,0.9999919,Very High
MRC03891,POS_Fashion,Kaduna,112,2698364.91,0.1607142857142857,0.9999914,Very High
MRC04141,Online_Ecommerce,Lagos,48,1915304.64,0.125,0.9999913,Very High
MRC01652,Transfer_P2P,Delta,344,7208575.66,0.0843023255813953,0.99999094,Very High
MRC01264,POS_Pharmacy,Lagos,52,342974.43,0.0769230769230769,0.99999094,Very High
MRC00754,Online_Bills,Imo,53,626040.22,0.0943396226415094,0.99999094,Very High
MRC00430,POS_Retail,Kaduna,42,432009.04,0.119047619047619,0.9999908,Very High
MRC00446,Transfer_P2P,Abuja,43,802969.27,0.1162790697674418,0.9999907,Very High
MRC01345,Transfer_Business,Abuja,63,15379785.18,0.1269841269841269,0.9999907,Very High
MRC01970,Online_Ecommerce,Abuja,85,3013478.88,0.1058823529411764,0.99999034,Very High
MRC02817,Transfer_Business,Abuja,43,9878690.88,0.1162790697674418,0.99999034,Very High
MRC01965,Online_Bills,Abuja,79,1017464.86,0.0886075949367088,0.99999034,Very High
MRC04737,Online_Ecommerce,Anambra,52,1998403.47,0.1346153846153846,0.99999034,Very High
MRC00845,Online_Ecommerce,Abuja,114,3832283.54,0.0964912280701754,0.99999034,Very High
MRC00211,POS_Fashion,Benue,69,1670853.47,0.1014492753623188,0.9999895,Very High
MRC02917,Online_Travel,Ogun,42,6044980.78,0.0952380952380952,0.9999894,Very High
MRC04677,Online_Ecommerce,Lagos,157,5216855.51,0.1019108280254777,0.9999894,Very High
MRC04806,Online_Ecommerce,Lagos,81,2762872.3,0.0864197530864197,0.99998915,Very High
MRC01808,POS_Grocery,Ekiti,131,987478.61,0.0839694656488549,0.99998915,Very High
MRC01662,Online_Ecommerce,Abuja,78,2733246.98,0.141025641025641,0.99998903,Very High
MRC03131,Online_Travel,Abuja,42,6020211.45,0.0952380952380952,0.9999889,Very High
MRC04048,Transfer_P2P,Bayelsa,587,12387894.25,0.06984667802385,0.9999889,Very High
MRC01135,Online_Bills,Plateau,44,567773.97,0.1590909090909091,0.9999888,Very High
MRC03901,Transfer_Business,Cross River,53,12869420.14,0.0943396226415094,0.9999888,Very High
MRC03903,POS_Grocery,Plateau,106,843443.86,0.0943396226415094,0.99998856,Very High
MRC02331,POS_Pharmacy,Kwara,69,439521.72,0.1014492753623188,0.99998844,Very High
MRC03368,POS_Electronics,Osun,204,18599593.17,0.0735294117647058,0.9999882,Very High
MRC04374,POS_Retail,Osun,96,934201.58,0.0833333333333333,0.9999876,Very High
MRC02765,POS_Restaurant,Lagos,68,386520.31,0.088235294117647,0.9999875,Very High
MRC02793,POS_Restaurant,Lagos,64,314122.28,0.109375,0.9999875,Very High
MRC01583,POS_Pharmacy,Oyo,42,240130.28,0.1428571428571428,0.99998736,Very High
MRC02359,POS_Restaurant,Kano,72,361955.47,0.1111111111111111,0.9999871,Very High
MRC01274,POS_Restaurant,Lagos,53,288794.0,0.0754716981132075,0.9999871,Very High
MRC02351,POS_Electronics,Abia,67,6130146.44,0.1044776119402985,0.999987,Very High
MRC02076,Transfer_Business,Abia,44,11192029.34,0.1818181818181818,0.999987,Very High
MRC01051,Online_Bills,Delta,155,2004473.8,0.0967741935483871,0.99998677,Very High
MRC00817,Online_Ecommerce,Lagos,49,1507491.34,0.1224489795918367,0.99998677,Very High
MRC03410,POS_Electronics,Abia,59,5179923.12,0.0847457627118644,0.99998665,Very High
MRC01045,Online_Bills,Lagos,46,589987.0,0.1304347826086956,0.9999865,Very High
MRC00679,Online_Ecommerce,Kwara,47,1628796.26,0.1489361702127659,0.9999864,Very High
MRC00466,Online_Bills,Abuja,55,685031.1,0.0909090909090909,0.9999864,Very High
MRC00478,Online_Bills,Kano,91,1127076.98,0.1098901098901098,0.9999863,Very High
MRC04814,Transfer_Business,Kaduna,67,17839313.45,0.0746268656716417,0.9999863,Very High
MRC02382,Transfer_Business,Oyo,68,17115903.57,0.1029411764705882,0.9999857,Very High
MRC01884,POS_Fuel,Kaduna,64,985058.2,0.125,0.9999852,Very High
MRC03753,POS_Grocery,Abuja,63,494513.53,0.0793650793650793,0.9999851,Very High
MRC00921,POS_Grocery,Kaduna,43,358140.19,0.0930232558139534,0.99998486,Very High
MRC04910,Online_Ecommerce,Abuja,126,3976311.77,0.0952380952380952,0.99998474,Very High
MRC01421,POS_Fuel,Delta,78,1222845.87,0.0897435897435897,0.99998474,Very High
MRC02187,POS_Electronics,Rivers,43,3069705.07,0.0930232558139534,0.99998474,Very High
MRC00761,POS_Restaurant,Abia,45,275435.5,0.1111111111111111,0.9999846,Very High
MRC00870,POS_Pharmacy,Kano,69,461268.86,0.072463768115942,0.9999845,Very High
MRC03574,POS_Retail,Abuja,46,505193.24,0.1304347826086956,0.9999844,Very High
MRC00839,Online_Travel,Lagos,93,13052234.41,0.0967741935483871,0.99998426,Very High
MRC01425,POS_Electronics,Ogun,122,9910515.68,0.0737704918032786,0.999984,Very High
MRC02966,POS_Fuel,Kano,67,1024035.64,0.0746268656716417,0.9999839,Very High
MRC01704,Transfer_P2P,Lagos,318,7007615.52,0.0786163522012578,0.9999838,Very High
MRC03552,Online_Ecommerce,Osun,51,1852676.3,0.0784313725490196,0.99998367,Very High
MRC03985,POS_Fuel,Abia,73,1122835.25,0.0821917808219178,0.9999833,Very High
MRC01713,POS_Electronics,Abuja,48,4466181.4,0.125,0.99998283,Very High
MRC01672,Online_Gaming,Abuja,45,162406.84,0.0888888888888888,0.9999827,Very High
MRC00723,POS_Retail,Lagos,68,767537.02,0.1029411764705882,0.99998224,Very High
MRC04444,POS_Fashion,Oyo,78,1888232.76,0.0897435897435897,0.9999821,Very High
MRC02708,POS_Supermarket,Kaduna,56,434013.77,0.1071428571428571,0.99998176,Very High
MRC04199,POS_Pharmacy,Abia,89,523385.02,0.0786516853932584,0.99998164,Very High
MRC02938,POS_Retail,Kaduna,82,826758.27,0.1097560975609756,0.9999814,Very High
MRC01563,POS_Supermarket,Enugu,226,1848248.62,0.0884955752212389,0.99998105,Very High
MRC01877,POS_Pharmacy,Rivers,50,297116.24,0.08,0.9999808,Very High
MRC00022,POS_Grocery,Abuja,63,499252.14,0.1746031746031746,0.9999808,Very High
MRC04235,Online_Ecommerce,Lagos,160,5507091.5200000005,0.09375,0.9999807,Very High
MRC03316,Online_Ecommerce,Kano,51,1756073.07,0.1176470588235294,0.9999801,Very High
MRC04956,Transfer_P2P,Oyo,134,2843361.64,0.0895522388059701,0.99998,Very High
MRC01669,POS_Retail,Rivers,51,517429.74,0.1176470588235294,0.99998,Very High
MRC02530,Transfer_P2P,Ogun,42,796101.71,0.0952380952380952,0.99997985,Very High
MRC00789,POS_Restaurant,Lagos,57,284731.42,0.1228070175438596,0.9999796,Very High
MRC00367,POS_Grocery,Lagos,89,730131.08,0.0898876404494382,0.9999795,Very High
MRC03010,POS_Retail,Lagos,85,880965.85,0.0823529411764705,0.9999789,Very High
MRC00649,Transfer_P2P,Benue,90,1896717.19,0.1,0.9999788,Very High
MRC04590,Online_Ecommerce,Kaduna,81,2828318.47,0.1111111111111111,0.9999784,Very High
MRC01007,POS_Restaurant,Cross River,58,278084.07,0.1034482758620689,0.9999782,Very High
MRC00417,POS_Grocery,Abuja,196,1768975.05,0.0714285714285714,0.99997807,Very High
MRC00855,Transfer_P2P,Lagos,71,1586350.98,0.0845070422535211,0.9999778,Very High
MRC04329,POS_Supermarket,Abuja,116,934290.88,0.0862068965517241,0.9999777,Very High
MRC03331,Transfer_P2P,Kwara,66,1357729.6,0.0757575757575757,0.9999776,Very High
MRC04912,Online_Bills,Lagos,1431,17792472.73,0.0712788259958071,0.99997723,Very High
MRC04247,Transfer_P2P,Lagos,48,944846.95,0.1875,0.9999771,Very High
MRC04685,Online_Ecommerce,Lagos,62,2161017.78,0.0967741935483871,0.9999759,Very High
MRC03252,POS_Restaurant,Lagos,69,368947.48,0.072463768115942,0.9999759,Very High
MRC02442,POS_Supermarket,Delta,50,395531.55,0.08,0.9999758,Very High
MRC04586,Online_Bills,Lagos,55,593549.85,0.109090909090909,0.9999751,Very High
MRC03489,Transfer_Payroll,Lagos,107,18665807.89,0.1121495327102803,0.9999747,Very High
MRC00715,POS_Pharmacy,Lagos,91,552983.07,0.1098901098901098,0.99997437,Very High
MRC00133,Transfer_P2P,Kaduna,194,4338067.77,0.0721649484536082,0.999974,Very High
MRC02315,Online_Bills,Rivers,73,945052.2,0.0821917808219178,0.9999738,Very High
MRC04947,POS_Fashion,Lagos,76,2034313.27,0.1052631578947368,0.99997365,Very High
MRC03939,POS_Retail,Kano,52,538731.38,0.1153846153846153,0.99997354,Very High
MRC00190,POS_Restaurant,Cross River,341,1728067.85,0.0791788856304985,0.99997354,Very High
MRC03236,POS_Fashion,Enugu,62,1597435.04,0.1129032258064516,0.9999732,Very High
MRC01342,POS_Grocery,Enugu,157,1291053.28,0.0700636942675159,0.99997306,Very High
MRC03966,POS_Fuel,Lagos,159,2354321.72,0.0754716981132075,0.99997306,Very High
MRC01690,POS_Grocery,Lagos,63,457020.71,0.1269841269841269,0.9999728,Very High
MRC02321,POS_Grocery,Kwara,57,467410.2,0.087719298245614,0.9999727,Very High
MRC02975,Online_Ecommerce,Oyo,55,2248327.12,0.0909090909090909,0.9999727,Very High
MRC03946,POS_Fuel,Kano,63,865093.65,0.0793650793650793,0.99997234,Very High
MRC01706,Transfer_P2P,Imo,85,1769236.74,0.0823529411764705,0.99997175,Very High
MRC02600,Online_Bills,Ogun,44,577723.47,0.1590909090909091,0.9999714,Very High
MRC01692,Transfer_Business,Oyo,76,18945941.89,0.0921052631578947,0.9999713,Very High
MRC04991,POS_Fuel,Kaduna,104,1483656.64,0.0865384615384615,0.9999707,Very High
MRC02392,POS_Restaurant,Kano,50,210642.03,0.08,0.99996996,Very High
MRC03183,POS_Retail,Kaduna,48,423288.88,0.1041666666666666,0.9999697,Very High
MRC01625,POS_Retail,Rivers,48,418254.11,0.1041666666666666,0.9999695,Very High
MRC00252,Transfer_P2P,Lagos,80,1861635.0,0.125,0.9999691,Very High
MRC00289,POS_Fashion,Abia,113,2837224.54,0.0884955752212389,0.9999684,Very High
MRC01906,Transfer_P2P,Lagos,108,2295379.55,0.0833333333333333,0.99996805,Very High
MRC01487,POS_Retail,Delta,62,522662.19,0.0967741935483871,0.9999677,Very High
MRC00909,Online_Ecommerce,Edo,149,5580707.59,0.087248322147651,0.9999676,Very High
MRC00622,Transfer_Business,Enugu,68,18158391.83,0.1029411764705882,0.99996746,Very High
MRC01654,Transfer_Business,Kano,69,17991631.63,0.072463768115942,0.99996746,Very High
MRC02176,Transfer_P2P,Plateau,203,4431233.34,0.0788177339901477,0.99996734,Very High
MRC02579,POS_Grocery,Lagos,45,402515.61,0.0888888888888888,0.9999666,Very High
MRC03101,Online_Ecommerce,Kaduna,44,1231188.37,0.0909090909090909,0.9999659,Very High
MRC01028,POS_Restaurant,Edo,57,276325.69,0.1228070175438596,0.99996495,Very High
MRC02732,POS_Retail,Lagos,42,414456.11,0.0952380952380952,0.9999641,Very High
MRC02913,POS_Supermarket,Lagos,46,352282.5,0.0869565217391304,0.999964,Very High
MRC02171,Online_Ecommerce,Abuja,64,2341408.91,0.078125,0.99996305,Very High
MRC01195,POS_Fuel,Rivers,71,1049175.64,0.0845070422535211,0.99996305,Very High
MRC03883,POS_Pharmacy,Abuja,109,758899.35,0.091743119266055,0.999962,Very High
MRC00692,Online_Bills,Edo,49,602123.95,0.1020408163265306,0.99996185,Very High
MRC04079,Online_Bills,Abuja,389,5025783.63,0.0796915167095115,0.9999615,Very High
MRC01855,Transfer_Business,Lagos,377,95649913.95,0.0822281167108753,0.9999614,Very High
MRC01456,Online_Travel,Lagos,78,12185808.02,0.1025641025641025,0.99996126,Very High
MRC03295,POS_Grocery,Lagos,282,2304166.61,0.0780141843971631,0.99996066,Very High
MRC02272,POS_Pharmacy,Osun,83,509874.34,0.0843373493975903,0.99996066,Very High
MRC02754,Online_Ecommerce,Abia,52,1763693.84,0.0769230769230769,0.9999603,Very High
MRC02276,POS_Retail,Imo,42,473129.01,0.0952380952380952,0.99995947,Very High
MRC02760,POS_Restaurant,Lagos,48,240040.14,0.1041666666666666,0.99995875,Very High
MRC03116,POS_Retail,Lagos,66,749800.9500000001,0.0757575757575757,0.9999585,Very High
MRC04852,Online_Ecommerce,Lagos,153,5427223.19,0.0784313725490196,0.99995756,Very High
MRC02830,POS_Restaurant,Lagos,58,294037.3,0.1379310344827586,0.99995697,Very High
MRC01548,POS_Supermarket,Oyo,64,592636.87,0.078125,0.9999565,Very High
MRC01222,POS_Electronics,Enugu,49,4006234.47,0.0816326530612244,0.99995637,Very High
MRC03341,POS_Retail,Lagos,43,499917.87,0.0930232558139534,0.99995613,Very High
MRC02773,POS_Pharmacy,Kano,67,383889.99,0.0746268656716417,0.99995553,Very High
MRC03484,POS_Fashion,Lagos,122,2878544.86,0.0737704918032786,0.99995494,Very High
MRC01228,Online_Ecommerce,Lagos,47,1634450.12,0.1489361702127659,0.999954,Very High
MRC00712,POS_Retail,Lagos,114,1274961.37,0.087719298245614,0.99995327,Very High
MRC03225,Transfer_Business,Enugu,51,11598431.39,0.0784313725490196,0.99995244,Very High
MRC04421,Online_Ecommerce,Oyo,46,1485634.31,0.0869565217391304,0.9999492,Very High
MRC04832,POS_Grocery,Delta,58,423265.59,0.1551724137931034,0.9999485,Very High
MRC00168,POS_Retail,Enugu,62,667387.3,0.0806451612903225,0.9999474,Very High
MRC04898,POS_Supermarket,Anambra,45,366949.82,0.1111111111111111,0.9999461,Very High
MRC03156,Online_Bills,Enugu,60,738747.94,0.0833333333333333,0.9999454,Very High
MRC00189,Transfer_P2P,Lagos,950,19703621.33,0.0694736842105263,0.99994516,Very High
MRC03294,POS_Retail,Lagos,47,450905.14,0.0851063829787234,0.9999448,Very High
MRC04489,Online_Ecommerce,Lagos,233,8242936.35,0.0686695278969957,0.99994457,Very High
MRC01346,POS_Electronics,Abuja,54,4884142.71,0.0925925925925925,0.9999441,Very High
MRC04849,Online_Ecommerce,Lagos,63,1972384.98,0.0952380952380952,0.99994266,Very High
MRC02829,Online_Travel,Lagos,45,6926685.68,0.1555555555555555,0.9999424,Very High
MRC03066,POS_Retail,Delta,96,906103.25,0.09375,0.9999418,Very High
MRC04763,POS_Retail,Enugu,44,383432.91,0.0909090909090909,0.9999416,Very High
MRC01030,POS_Fuel,Abia,42,656708.53,0.1428571428571428,0.99993885,Very High
MRC01617,Online_Bills,Enugu,136,1661858.41,0.0735294117647058,0.9999385,Very High
MRC00338,Online_Gaming,Kano,55,166025.81,0.1272727272727272,0.9999379,Very High
MRC03200,POS_Pharmacy,Lagos,67,419859.61,0.0895522388059701,0.9999373,Very High
MRC01927,Online_Ecommerce,Abia,56,1886465.03,0.0892857142857142,0.99993575,Very High
MRC02526,POS_Retail,Osun,63,682196.95,0.0793650793650793,0.99993575,Very High
MRC00323,Transfer_P2P,Delta,43,917077.21,0.0930232558139534,0.9999356,Very High
MRC03972,POS_Fuel,Kaduna,45,628442.14,0.0888888888888888,0.9999342,Very High
MRC02161,Online_Ecommerce,Rivers,376,13895474.21,0.0691489361702127,0.9999341,Very High
MRC00819,POS_Fuel,Kwara,60,859386.04,0.0833333333333333,0.99993336,Very High
MRC00940,Transfer_Business,Abuja,44,12425723.04,0.0909090909090909,0.999933,Very High
MRC03857,POS_Retail,Lagos,59,575283.56,0.0847457627118644,0.99993145,Very High
MRC02459,POS_Restaurant,Lagos,114,575463.58,0.0789473684210526,0.99993,Very High
MRC03243,POS_Fuel,Ekiti,50,896776.1900000001,0.08,0.99992776,Very High
MRC03377,POS_Retail,Lagos,227,2354652.26,0.0837004405286343,0.9999269,Very High
MRC02357,POS_Fashion,Enugu,53,1311459.44,0.1132075471698113,0.9999261,Very High
MRC00485,Online_Travel,Kwara,50,7559747.77,0.12,0.99992335,Very High
MRC01242,POS_Retail,Abuja,52,504787.5,0.0769230769230769,0.99992335,Very High
MRC01686,POS_Fuel,Rivers,52,693673.04,0.0769230769230769,0.9999224,Very High
MRC00525,Transfer_P2P,Benue,50,1154213.36,0.08,0.9999207,Very High
MRC02047,POS_Supermarket,Lagos,48,422977.16,0.0833333333333333,0.99992037,Very High
MRC03405,Transfer_P2P,Kano,318,6544635.88,0.0691823899371069,0.99992037,Very High
