merchant_id,merchant_name,category,state,signup_date
MRC00078,Merchant_78,POS_Retail,Kaduna,2025-05-08
MRC00079,Merchant_79,POS_Grocery,Rivers,2024-08-22
MRC00080,Merchant_80,POS_Pharmacy,Delta,2024-03-05
MRC00081,Merchant_81,Transfer_P2P,Enugu,2024-03-19
MRC00082,Merchant_82,POS_Retail,Oyo,2024-03-30
MRC00083,Merchant_83,POS_Fashion,Plateau,2024-01-06
MRC00084,Merchant_84,POS_Supermarket,Lagos,2025-03-16
MRC00085,Merchant_85,POS_Restaurant,Ogun,2024-01-14
MRC00086,Merchant_86,POS_Grocery,Rivers,2024-08-04
MRC00087,Merchant_87,POS_Electronics,Ogun,2024-08-23
MRC00088,Merchant_88,Transfer_P2P,Kaduna,2024-11-30
MRC00089,Merchant_89,Online_Ecommerce,Lagos,2024-05-25
MRC00090,Merchant_90,Online_Bills,Abuja,2024-08-20
MRC00091,Merchant_91,Transfer_P2P,Lagos,2024-03-05
MRC00092,Merchant_92,Online_Ecommerce,Lagos,2024-09-03
MRC00093,Merchant_93,Online_Gaming,Ogun,2024-03-16
MRC00094,Merchant_94,POS_Grocery,Lagos,2025-02-23
MRC00095,Merchant_95,POS_Fuel,Oyo,2024-02-02
MRC00096,Merchant_96,Transfer_P2P,Lagos,2024-03-09
MRC00097,Merchant_97,POS_Grocery,Enugu,2024-05-04
MRC00098,Merchant_98,POS_Retail,Ogun,2024-09-26
MRC00099,Merchant_99,Online_Ecommerce,Abuja,2024-09-05
MRC00100,Merchant_100,POS_Fashion,Enugu,2024-02-12
MRC00101,Merchant_101,Transfer_P2P,Imo,2024-01-29
MRC00102,Merchant_102,POS_Restaurant,Lagos,2024-03-06
MRC00103,Merchant_103,POS_Retail,Ogun,2024-04-29
MRC00104,Merchant_104,Transfer_P2P,Abuja,2024-05-19
MRC00105,Merchant_105,Transfer_P2P,Lagos,2024-04-10
MRC00106,Merchant_106,Online_Ecommerce,Kano,2024-07-14
MRC00107,Merchant_107,Transfer_Business,Lagos,2024-04-10
MRC00108,Merchant_108,POS_Retail,Imo,2025-06-10
MRC00109,Merchant_109,POS_Retail,Lagos,2024-02-24
MRC00110,Merchant_110,Transfer_P2P,Lagos,2024-06-26
MRC00111,Merchant_111,POS_Retail,Kano,2024-06-19
MRC00112,Merchant_112,POS_Fashion,Enugu,2024-02-29
MRC00113,Merchant_113,POS_Retail,Ogun,2024-04-05
MRC00114,Merchant_114,POS_Grocery,Abuja,2024-03-22
MRC00115,Merchant_115,Online_Ecommerce,Kwara,2024-02-04
MRC00116,Merchant_116,Online_Ecommerce,Benue,2024-04-26
MRC00117,Merchant_117,POS_Pharmacy,Oyo,2024-03-28
MRC00118,Merchant_118,Transfer_P2P,Edo,2024-02-05
MRC00119,Merchant_119,POS_Grocery,Kano,2024-04-17
MRC00120,Merchant_120,Transfer_P2P,Lagos,2024-04-08
MRC00121,Merchant_121,Transfer_Business,Abuja,2024-01-26
MRC00122,Merchant_122,POS_Pharmacy,Lagos,2024-01-26
MRC00123,Merchant_123,Transfer_Business,Abia,2024-07-06
MRC00124,Merchant_124,Transfer_Business,Lagos,2024-08-08
MRC00125,Merchant_125,POS_Pharmacy,Delta,2025-05-24
MRC00126,Merchant_126,POS_Supermarket,Abuja,2024-01-17
MRC00127,Merchant_127,Online_Ecommerce,Delta,2024-01-23
MRC00128,Merchant_128,Transfer_P2P,Lagos,2024-01-10
MRC00129,Merchant_129,POS_Retail,Anambra,2024-05-16
MRC00130,Merchant_130,Online_Ecommerce,Lagos,2024-06-24
MRC00131,Merchant_131,Online_Bills,Bayelsa,2024-04-03
MRC00132,Merchant_132,POS_Electronics,Kwara,2024-10-14
MRC00133,Merchant_133,Transfer_P2P,Kaduna,2024-07-27
MRC00134,Merchant_134,POS_Grocery,Lagos,2026-02-05
MRC00135,Merchant_135,POS_Retail,Lagos,2024-01-27
MRC00136,Merchant_136,Online_Bills,Osun,2024-01-11
MRC00137,Merchant_137,POS_Fashion,Lagos,2024-02-27
MRC00138,Merchant_138,POS_Restaurant,Lagos,2024-01-04
MRC00139,Merchant_139,POS_Retail,Kano,2025-04-30
MRC00140,Merchant_140,Online_Bills,Abuja,2024-03-06
MRC00141,Merchant_141,POS_Grocery,Lagos,2024-05-24
MRC00142,Merchant_142,Online_Bills,Kano,2024-03-09
MRC00143,Merchant_143,Online_Bills,Rivers,2024-02-20
MRC00144,Merchant_144,POS_Grocery,Lagos,2024-01-30
MRC00145,Merchant_145,POS_Fuel,Kano,2024-03-10
MRC00146,Merchant_146,POS_Grocery,Rivers,2024-06-21
MRC00147,Merchant_147,POS_Restaurant,Ogun,2025-10-03
MRC00148,Merchant_148,Online_Ecommerce,Lagos,2024-05-26
MRC00149,Merchant_149,Transfer_Business,Enugu,2024-05-16
MRC00150,Merchant_150,Online_Travel,Rivers,2024-01-07
MRC00151,Merchant_151,POS_Pharmacy,Rivers,2024-11-25
MRC00152,Merchant_152,POS_Grocery,Lagos,2024-01-09
MRC00153,Merchant_153,Online_Ecommerce,Lagos,2025-03-02
MRC00154,Merchant_154,POS_Retail,Kwara,2024-05-19
MRC00155,Merchant_155,POS_Restaurant,Abuja,2024-02-03
MRC00156,Merchant_156,POS_Electronics,Kaduna,2024-04-18
MRC00157,Merchant_157,POS_Electronics,Plateau,2026-08-11
MRC00158,Merchant_158,POS_Supermarket,Kano,2024-03-06
MRC00159,Merchant_159,POS_Retail,Rivers,2024-02-26
MRC00160,Merchant_160,Transfer_P2P,Abuja,2024-01-23
MRC00161,Merchant_161,Transfer_Business,Plateau,2024-06-12
MRC00162,Merchant_162,POS_Grocery,Kaduna,2024-01-17
MRC00163,Merchant_163,Transfer_Business,Delta,2024-09-18
MRC00164,Merchant_164,POS_Pharmacy,Rivers,2025-03-28
MRC00165,Merchant_165,Online_Ecommerce,Kwara,2025-04-28
MRC00166,Merchant_166,POS_Restaurant,Ogun,2024-01-21
MRC00167,Merchant_167,POS_Restaurant,Abuja,2024-05-27
MRC00168,Merchant_168,POS_Retail,Enugu,2024-01-19
MRC00169,Merchant_169,Online_Ecommerce,Rivers,2024-06-01
MRC00170,Merchant_170,POS_Retail,Lagos,2024-10-30
MRC00171,Merchant_171,Online_Ecommerce,Anambra,2024-05-18
MRC00172,Merchant_172,Transfer_Business,Lagos,2025-01-05
MRC00173,Merchant_173,POS_Fashion,Oyo,2024-10-18
MRC00174,Merchant_174,POS_Electronics,Abuja,2024-02-28
MRC00175,Merchant_175,POS_Fuel,Abuja,2024-06-28
MRC00176,Merchant_176,POS_Retail,Oyo,2024-01-02
MRC00177,Merchant_177,POS_Restaurant,Abia,2024-03-31
MRC00178,Merchant_178,POS_Supermarket,Rivers,2024-02-18
MRC00179,Merchant_179,Transfer_P2P,Lagos,2025-05-12
MRC00180,Merchant_180,POS_Restaurant,Enugu,2024-04-03
MRC00181,Merchant_181,POS_Electronics,Lagos,2024-07-10
MRC00182,Merchant_182,Online_Ecommerce,Lagos,2024-08-25
MRC00183,Merchant_183,POS_Fashion,Lagos,2024-09-24
MRC00184,Merchant_184,POS_Fuel,Lagos,2024-08-27
MRC00185,Merchant_185,Online_Ecommerce,Rivers,2024-03-02
MRC00186,Merchant_186,Transfer_P2P,Rivers,2024-07-27
MRC00187,Merchant_187,POS_Fashion,Lagos,2024-05-23
MRC00188,Merchant_188,POS_Electronics,Anambra,2024-06-12
MRC00189,Merchant_189,Transfer_P2P,Lagos,2024-01-01
MRC00190,Merchant_190,POS_Restaurant,Cross River,2024-02-23
MRC00191,Merchant_191,Online_Ecommerce,Enugu,2025-04-25
MRC00192,Merchant_192,POS_Supermarket,Lagos,2024-03-02
MRC00193,Merchant_193,Transfer_Business,Benue,2024-04-13
MRC00194,Merchant_194,POS_Pharmacy,Abuja,2024-02-07
MRC00195,Merchant_195,Online_Bills,Rivers,2024-01-27
MRC00196,Merchant_196,Transfer_P2P,Abuja,2024-02-12
MRC00197,Merchant_197,Online_Bills,Ogun,2024-05-25
MRC00198,Merchant_198,POS_Grocery,Oyo,2025-03-28
MRC00199,Merchant_199,POS_Electronics,Lagos,2024-03-12
MRC00200,Merchant_200,Transfer_P2P,Lagos,2024-03-11
MRC00201,Merchant_201,Online_Bills,Ogun,2024-05-29
MRC00202,Merchant_202,Online_Ecommerce,Lagos,2024-03-20
MRC00203,Merchant_203,POS_Restaurant,Lagos,2025-03-10
MRC00204,Merchant_204,Online_Gaming,Oyo,2024-03-26
MRC00205,Merchant_205,Online_Ecommerce,Anambra,2024-05-01
MRC00206,Merchant_206,Online_Travel,Abuja,2024-05-17
MRC00207,Merchant_207,POS_Grocery,Abuja,2024-10-01
MRC00208,Merchant_208,POS_Pharmacy,Kwara,2024-05-29
MRC00209,Merchant_209,Online_Gaming,Lagos,2024-02-19
MRC00210,Merchant_210,Transfer_Business,Enugu,2024-01-24
MRC00211,Merchant_211,POS_Fashion,Benue,2025-05-14
MRC00212,Merchant_212,POS_Restaurant,Kwara,2024-10-18
MRC00213,Merchant_213,Transfer_Business,Lagos,2024-01-05
MRC00214,Merchant_214,POS_Pharmacy,Abuja,2024-11-06
MRC00215,Merchant_215,POS_Fuel,Lagos,2024-06-09
MRC00216,Merchant_216,POS_Grocery,Plateau,2024-05-11
MRC00217,Merchant_217,POS_Pharmacy,Abia,2024-01-03
MRC00218,Merchant_218,POS_Electronics,Lagos,2024-09-30
MRC00219,Merchant_219,Online_Ecommerce,Delta,2024-02-09
MRC00220,Merchant_220,POS_Grocery,Kwara,2024-08-22
MRC00221,Merchant_221,Online_Ecommerce,Lagos,2024-01-03
MRC00222,Merchant_222,POS_Grocery,Lagos,2024-10-13
MRC00223,Merchant_223,Online_Bills,Lagos,2024-01-05
MRC00224,Merchant_224,Transfer_Business,Rivers,2024-02-18
MRC00225,Merchant_225,Online_Bills,Bayelsa,2024-02-26
MRC00226,Merchant_226,POS_Restaurant,Bayelsa,2024-01-31
MRC00227,Merchant_227,POS_Restaurant,Lagos,2024-04-28
MRC00228,Merchant_228,POS_Retail,Lagos,2024-03-01
MRC00229,Merchant_229,Transfer_Business,Rivers,2026-06-19
MRC00230,Merchant_230,POS_Electronics,Anambra,2024-06-05
MRC00231,Merchant_231,POS_Retail,Enugu,2024-05-30
MRC00232,Merchant_232,POS_Retail,Oyo,2024-02-14
MRC00233,Merchant_233,Online_Bills,Enugu,2024-04-04
MRC00234,Merchant_234,POS_Grocery,Lagos,2024-01-24
MRC00235,Merchant_235,POS_Restaurant,Oyo,2024-09-15
MRC00236,Merchant_236,POS_Fuel,Abia,2024-03-13
MRC00237,Merchant_237,POS_Fuel,Lagos,2024-09-07
MRC00238,Merchant_238,Online_Ecommerce,Oyo,2024-03-24
MRC00239,Merchant_239,POS_Restaurant,Abuja,2026-03-18
MRC00240,Merchant_240,Online_Ecommerce,Kano,2024-02-03
MRC00241,Merchant_241,POS_Grocery,Kano,2024-01-01
MRC00242,Merchant_242,Transfer_Business,Kano,2024-06-11
MRC00243,Merchant_243,POS_Retail,Osun,2025-07-04
MRC00244,Merchant_244,Transfer_Business,Rivers,2024-07-06
MRC00245,Merchant_245,Online_Bills,Oyo,2024-01-17
MRC00246,Merchant_246,Online_Gaming,Lagos,2024-05-19
MRC00247,Merchant_247,POS_Fuel,Anambra,2025-03-08
MRC00248,Merchant_248,POS_Grocery,Abuja,2024-01-02
MRC00249,Merchant_249,POS_Grocery,Imo,2024-02-02
MRC00250,Merchant_250,POS_Restaurant,Abuja,2024-10-30
MRC00251,Merchant_251,POS_Fashion,Lagos,2025-02-07
MRC00252,Merchant_252,Transfer_P2P,Lagos,2024-08-09
MRC00253,Merchant_253,POS_Grocery,Abia,2026-05-09
MRC00254,Merchant_254,POS_Retail,Abuja,2024-01-18
MRC00255,Merchant_255,POS_Fuel,Lagos,2024-05-22
MRC00256,Merchant_256,Transfer_P2P,Lagos,2024-07-26
MRC00257,Merchant_257,Online_Ecommerce,Abuja,2024-08-06
MRC00258,Merchant_258,Transfer_P2P,Lagos,2024-10-10
MRC00259,Merchant_259,Online_Ecommerce,Oyo,2025-03-25
MRC00260,Merchant_260,Transfer_Business,Lagos,2024-03-21
MRC00261,Merchant_261,Online_Bills,Oyo,2024-01-08
MRC00262,Merchant_262,POS_Retail,Lagos,2024-03-22
MRC00263,Merchant_263,Transfer_Business,Rivers,2024-07-19
MRC00264,Merchant_264,Online_Bills,Enugu,2024-02-13
MRC00265,Merchant_265,Online_Ecommerce,Lagos,2024-10-25
MRC00266,Merchant_266,POS_Retail,Rivers,2024-02-14
MRC00267,Merchant_267,POS_Restaurant,Abuja,2024-01-02
MRC00268,Merchant_268,POS_Restaurant,Lagos,2024-05-07
MRC00269,Merchant_269,Online_Gaming,Enugu,2024-08-21
MRC00270,Merchant_270,Online_Bills,Enugu,2024-03-18
MRC00271,Merchant_271,POS_Retail,Delta,2024-09-05
MRC00272,Merchant_272,POS_Retail,Lagos,2024-04-13
MRC00273,Merchant_273,POS_Retail,Abuja,2024-02-03
MRC00274,Merchant_274,Transfer_P2P,Lagos,2024-01-18
MRC00275,Merchant_275,POS_Restaurant,Kano,2024-08-11
MRC00276,Merchant_276,Transfer_P2P,Oyo,2024-03-28
MRC00277,Merchant_277,Online_Ecommerce,Abuja,2025-03-15
MRC00278,Merchant_278,Online_Travel,Anambra,2024-05-19
MRC00279,Merchant_279,Online_Ecommerce,Lagos,2024-03-18
MRC00280,Merchant_280,Online_Bills,Abia,2024-03-18
MRC00281,Merchant_281,POS_Grocery,Lagos,2024-01-26
MRC00282,Merchant_282,Online_Bills,Edo,2024-06-11
MRC00283,Merchant_283,POS_Pharmacy,Abuja,2024-06-06
MRC00284,Merchant_284,POS_Grocery,Osun,2024-10-16
MRC00285,Merchant_285,Online_Bills,Lagos,2024-02-10
MRC00286,Merchant_286,Transfer_P2P,Rivers,2024-03-02
MRC00287,Merchant_287,POS_Supermarket,Abuja,2024-01-19
MRC00288,Merchant_288,POS_Grocery,Abia,2024-03-04
MRC00289,Merchant_289,POS_Fashion,Abia,2024-04-10
MRC00290,Merchant_290,POS_Restaurant,Lagos,2025-08-21
MRC00291,Merchant_291,Online_Bills,Enugu,2024-07-09
MRC00292,Merchant_292,POS_Fashion,Kano,2024-10-01
MRC00293,Merchant_293,Online_Ecommerce,Lagos,2024-03-11
MRC00294,Merchant_294,POS_Supermarket,Lagos,2024-01-29
MRC00295,Merchant_295,POS_Retail,Abia,2024-02-23
MRC00296,Merchant_296,POS_Fashion,Oyo,2024-02-23
MRC00297,Merchant_297,Online_Bills,Lagos,2024-06-06
MRC00298,Merchant_298,POS_Retail,Lagos,2024-03-16
MRC00299,Merchant_299,POS_Electronics,Abuja,2024-12-16
MRC00300,Merchant_300,POS_Fuel,Oyo,2026-03-15
MRC00301,Merchant_301,POS_Retail,Abuja,2024-03-16
MRC00302,Merchant_302,POS_Retail,Oyo,2024-08-07
MRC00303,Merchant_303,Transfer_Business,Lagos,2024-07-11
MRC00304,Merchant_304,POS_Supermarket,Abuja,2024-02-08
MRC00305,Merchant_305,POS_Retail,Lagos,2025-03-26
MRC00306,Merchant_306,Online_Bills,Ekiti,2024-02-10
MRC00307,Merchant_307,POS_Restaurant,Lagos,2024-08-28
MRC00308,Merchant_308,POS_Grocery,Edo,2024-03-17
MRC00309,Merchant_309,POS_Retail,Abuja,2024-03-23
MRC00310,Merchant_310,POS_Fuel,Oyo,2024-04-19
MRC00311,Merchant_311,POS_Restaurant,Abuja,2024-12-25
MRC00312,Merchant_312,Transfer_P2P,Kaduna,2024-01-28
MRC00313,Merchant_313,POS_Electronics,Kwara,2024-01-11
MRC00314,Merchant_314,Transfer_P2P,Abuja,2024-04-02
MRC00315,Merchant_315,POS_Retail,Lagos,2024-01-11
MRC00316,Merchant_316,Transfer_P2P,Kaduna,2024-07-28
MRC00317,Merchant_317,POS_Pharmacy,Lagos,2024-09-14
MRC00318,Merchant_318,POS_Retail,Delta,2024-12-13
MRC00319,Merchant_319,POS_Retail,Lagos,2024-09-02
MRC00320,Merchant_320,POS_Restaurant,Enugu,2025-03-22
MRC00321,Merchant_321,POS_Grocery,Oyo,2024-09-05
MRC00322,Merchant_322,Transfer_Business,Lagos,2025-05-10
MRC00323,Merchant_323,Transfer_P2P,Delta,2024-02-08
MRC00324,Merchant_324,POS_Fuel,Rivers,2024-05-04
MRC00325,Merchant_325,Online_Ecommerce,Lagos,2026-07-07
MRC00326,Merchant_326,POS_Supermarket,Abuja,2024-07-24
MRC00327,Merchant_327,POS_Fuel,Oyo,2025-01-14
MRC00328,Merchant_328,POS_Fashion,Lagos,2024-01-06
MRC00329,Merchant_329,Transfer_P2P,Benue,2025-01-04
MRC00330,Merchant_330,POS_Retail,Delta,2024-08-03
MRC00331,Merchant_331,Online_Bills,Lagos,2024-02-03
MRC00332,Merchant_332,POS_Supermarket,Imo,2024-01-05
MRC00333,Merchant_333,Online_Bills,Abuja,2024-02-24
MRC00334,Merchant_334,POS_Electronics,Enugu,2025-03-21
MRC00335,Merchant_335,POS_Fuel,Abuja,2024-07-17
MRC00336,Merchant_336,Transfer_P2P,Ogun,2025-03-29
MRC00337,Merchant_337,POS_Electronics,Ogun,2024-04-16
MRC00338,Merchant_338,Online_Gaming,Kano,2025-05-11
MRC00339,Merchant_339,Online_Bills,Lagos,2024-04-21
MRC00340,Merchant_340,Transfer_Business,Abuja,2024-02-11
MRC00341,Merchant_341,POS_Retail,Rivers,2024-01-30
MRC00342,Merchant_342,POS_Fuel,Lagos,2026-07-04
MRC00343,Merchant_343,POS_Fuel,Abuja,2024-03-14
MRC00344,Merchant_344,POS_Retail,Kaduna,2024-02-01
MRC00345,Merchant_345,POS_Fuel,Kwara,2024-01-02
MRC00346,Merchant_346,Online_Ecommerce,Abuja,2024-03-01
MRC00347,Merchant_347,POS_Supermarket,Lagos,2025-01-30
MRC00348,Merchant_348,POS_Grocery,Kwara,2024-05-17
MRC00349,Merchant_349,Online_Bills,Bayelsa,2024-06-29
MRC00350,Merchant_350,Transfer_Payroll,Rivers,2025-04-05
MRC00351,Merchant_351,POS_Restaurant,Lagos,2024-05-09
MRC00352,Merchant_352,Online_Bills,Kaduna,2024-11-23
MRC00353,Merchant_353,Transfer_Business,Anambra,2024-03-11
MRC00354,Merchant_354,POS_Retail,Lagos,2025-11-10
MRC00355,Merchant_355,POS_Grocery,Enugu,2024-01-15
MRC00356,Merchant_356,POS_Retail,Enugu,2024-08-20
MRC00357,Merchant_357,POS_Retail,Rivers,2024-07-13
MRC00358,Merchant_358,POS_Restaurant,Ogun,2024-02-08
MRC00359,Merchant_359,Online_Gaming,Rivers,2024-03-29
MRC00360,Merchant_360,POS_Grocery,Kaduna,2024-03-08
MRC00361,Merchant_361,Transfer_Business,Oyo,2024-01-18
MRC00362,Merchant_362,Transfer_P2P,Lagos,2024-06-07
MRC00363,Merchant_363,Online_Ecommerce,Enugu,2026-06-30
MRC00364,Merchant_364,Transfer_Business,Ogun,2024-05-27
MRC00365,Merchant_365,Online_Bills,Abia,2024-05-21
MRC00366,Merchant_366,POS_Retail,Rivers,2024-01-08
MRC00367,Merchant_367,POS_Grocery,Lagos,2024-01-27
MRC00368,Merchant_368,POS_Retail,Abia,2024-05-09
MRC00369,Merchant_369,POS_Restaurant,Enugu,2026-01-28
MRC00370,Merchant_370,Online_Travel,Plateau,2025-01-11
MRC00371,Merchant_371,POS_Grocery,Lagos,2024-03-15
MRC00372,Merchant_372,Transfer_Business,Abuja,2024-05-20
MRC00373,Merchant_373,Online_Bills,Lagos,2024-05-24
MRC00374,Merchant_374,Online_Ecommerce,Kwara,2024-07-27
MRC00375,Merchant_375,POS_Grocery,Ekiti,2024-07-28
MRC00376,Merchant_376,POS_Grocery,Oyo,2024-10-07
MRC00377,Merchant_377,Transfer_P2P,Lagos,2024-01-05
MRC00378,Merchant_378,POS_Supermarket,Lagos,2025-06-01
MRC00379,Merchant_379,POS_Supermarket,Enugu,2024-01-14
MRC00380,Merchant_380,Online_Bills,Oyo,2024-04-26
MRC00381,Merchant_381,Online_Travel,Kaduna,2025-03-29
MRC00382,Merchant_382,Transfer_P2P,Abuja,2024-04-30
MRC00383,Merchant_383,Transfer_P2P,Rivers,2024-01-12
MRC00384,Merchant_384,POS_Retail,Lagos,2024-02-16
MRC00385,Merchant_385,Transfer_P2P,Enugu,2024-06-04
MRC00386,Merchant_386,POS_Fashion,Rivers,2024-01-17
MRC00387,Merchant_387,POS_Pharmacy,Cross River,2024-04-09
MRC00388,Merchant_388,POS_Pharmacy,Delta,2024-03-12
MRC00389,Merchant_389,POS_Restaurant,Rivers,2024-10-30
MRC00390,Merchant_390,Online_Ecommerce,Abuja,2024-01-22
MRC00391,Merchant_391,POS_Fuel,Bayelsa,2024-07-25
MRC00392,Merchant_392,Online_Ecommerce,Lagos,2024-04-03
MRC00393,Merchant_393,Transfer_P2P,Abuja,2024-06-08
MRC00394,Merchant_394,Online_Ecommerce,Plateau,2024-02-11
MRC00395,Merchant_395,Transfer_P2P,Delta,2024-06-18
MRC00396,Merchant_396,Online_Bills,Kano,2024-07-20
MRC00397,Merchant_397,POS_Fuel,Lagos,2024-01-14
MRC00398,Merchant_398,POS_Retail,Kwara,2024-11-09
MRC00399,Merchant_399,POS_Fashion,Lagos,2024-12-21
MRC00400,Merchant_400,POS_Retail,Lagos,2024-01-12
MRC00401,Merchant_401,POS_Retail,Lagos,2024-06-15
MRC00402,Merchant_402,Online_Travel,Lagos,2024-06-11
MRC00403,Merchant_403,Transfer_Payroll,Benue,2024-01-03
MRC00404,Merchant_404,POS_Grocery,Enugu,2024-03-16
MRC00405,Merchant_405,POS_Retail,Delta,2025-09-16
MRC00406,Merchant_406,POS_Restaurant,Benue,2024-05-25
MRC00407,Merchant_407,POS_Supermarket,Lagos,2025-05-02
MRC00408,Merchant_408,Online_Travel,Lagos,2024-07-21
MRC00409,Merchant_409,Transfer_P2P,Enugu,2024-01-06
MRC00410,Merchant_410,POS_Fuel,Oyo,2024-01-15
MRC00411,Merchant_411,POS_Retail,Oyo,2024-08-18
MRC00412,Merchant_412,POS_Retail,Lagos,2024-05-25
MRC00413,Merchant_413,Transfer_Business,Oyo,2024-01-25
MRC00414,Merchant_414,POS_Retail,Abuja,2024-06-20
MRC00415,Merchant_415,Transfer_Payroll,Abuja,2024-10-26
MRC00416,Merchant_416,POS_Restaurant,Lagos,2024-09-08
MRC00417,Merchant_417,POS_Grocery,Abuja,2024-02-20
MRC00418,Merchant_418,POS_Restaurant,Abuja,2024-02-23
MRC00419,Merchant_419,Transfer_P2P,Abuja,2025-09-10
MRC00420,Merchant_420,POS_Retail,Abia,2025-01-28
